click_timestamp,click_id,article_id,revenue
2024-03-04 10:33:17,47125,1659786,18.72
2024-03-14 12:26:58,99110,5753320,1.48
2024-03-11 9:36:14,66648,7615783,9.25
2024-04-05 2:46:00,88418,1659786,11.07
2024-03-28 23:20:06,40130,1689493,10.27
2024-04-08 2:08:52,85325,1689493,1.66
2024-03-20 18:15:33,91814,4614018,18.18
2024-03-05 16:55:57,64921,4614018,5.83
2024-03-18 4:47:11,98596,3613000,18.44
2024-04-11 22:26:33,33347,2622949,17.94
2024-04-02 16:31:35,53589,2622949,3.68
2024-04-01 8:51:14,91483,2622949,3.57
2024-03-20 13:05:16,13753,1681449,13.83
2024-03-13 1:42:20,88196,5112506,6.49
2024-03-27 0:49:05,59374,9918796,15.42
2024-03-21 11:31:39,87632,4616433,7.19
2024-03-13 3:02:44,78993,8174638,4.7
2024-03-04 15:49:47,91624,8551495,11.7
2024-04-11 19:32:39,63824,8551495,11.33
2024-03-05 18:04:18,13015,8551495,1.27
2024-09-01 17:11:38,73728,7240983,14.26
2024-09-12 11:24:07,50637,7240983,10.02
2024-09-24 13:48:46,80013,6057959,15.51
2024-09-20 11:14:44,75870,6057959,14.53
2024-09-08 23:48:58,38471,2051852,8.97
2024-09-13 20:59:02,68576,2039340,1.58
2024-09-23 2:07:23,26788,1751187,15.18
2024-09-27 23:31:01,97828,9344651,12.12
2024-09-24 15:00:47,78136,9344651,8.27
2024-09-11 13:38:23,20413,2588835,10.45
2024-09-29 2:47:38,57078,2588835,6.03
2024-09-03 23:01:14,61955,4196717,15.09
2024-09-03 18:36:08,91704,6872665,16.9
2024-09-25 9:51:47,90701,9818936,15.18
2024-09-26 18:48:24,73302,1596470,15.23
2024-09-25 15:39:47,82732,1596470,9.69
2024-09-10 0:30:06,18460,2404641,15.19
2024-09-12 10:01:56,93186,4268894,11.66
2024-09-28 15:43:11,23761,3123632,13.03
2024-09-29 20:39:54,13270,4195556,10.36
2024-06-30 8:25:56,46720,3701765,5.91
2024-07-07 10:32:13,70345,3701765,11.38
2024-06-22 15:48:50,15667,3701765,5.19
2024-06-25 6:03:02,22888,6794200,15.97
2024-06-29 5:07:26,40522,6794200,18.09
2024-07-11 8:03:46,22806,5868450,17.3
2024-06-25 8:22:23,48041,5868450,6.07
2024-06-13 12:31:07,67621,6702968,1.63
2024-07-07 7:56:06,82719,7520225,8.44
2024-06-13 13:21:17,17483,7520225,1.63
2024-07-04 13:23:54,38710,7865273,3.63
2024-06-26 22:37:29,51984,7865273,17.08
2024-06-21 20:36:43,21646,1256389,7.27
2024-07-01 6:31:19,32906,1526399,17.11
2024-07-14 3:41:00,93548,1526399,16.07
2024-07-19 4:20:22,37531,1526399,10.97
2024-07-12 10:07:01,11586,9603850,13.67
2024-06-24 12:48:05,44616,9603850,5.58
2024-06-15 0:41:13,74955,9602993,1.21
2024-05-27 20:07:30,42961,3167470,13.51
2024-05-20 4:42:21,53956,8661037,17.8
2024-05-22 13:06:35,20451,2329279,2.35
2024-05-25 5:24:04,50692,2484649,6.84
2024-05-24 21:12:29,11718,2484649,4.6
2024-06-25 9:42:55,50599,6546234,19.74
2024-06-07 17:10:51,86140,6546234,13.12
2024-06-28 2:04:55,13836,4466633,13.49
2024-06-14 18:59:41,68907,5027243,17.43
2024-05-28 10:21:20,73425,5027243,18.99
2024-05-31 4:37:17,92742,2137248,13.86
2024-05-27 17:12:00,85236,5455015,15.26
2024-06-05 10:46:32,55595,5455015,8.74
2024-06-04 18:17:28,59258,5455015,1.9
2024-05-20 10:20:33,91936,1988453,16.08
2024-06-26 20:53:36,53018,1988453,15.55
2024-06-10 11:39:31,79925,3222499,4.21
2024-06-01 22:10:04,29345,3182119,13.04
2024-05-22 4:32:30,31327,3182119,3.2
2024-11-19 23:08:49,41797,1726224,15.62
2024-12-13 15:32:58,78214,1726224,9.09
2024-11-06 22:28:51,33478,2059600,3.9
2024-12-08 2:39:55,45198,9087575,6.2
2024-11-09 23:45:47,74749,7931656,14.56
2024-12-02 4:18:41,98360,7931656,1.23
2024-12-05 3:07:23,42166,1218019,1.18
2024-12-19 22:35:34,42513,1218019,14.15
2024-12-16 23:20:19,63355,1218019,13.66
